id;kode;gejala;saran
1;G001;Apakah listrik tersedia 24 jam?;scsd
2;G002;Apakah tersedia air bagus tersebut?;hdfh
3;G003;Apakah tersedian pakan ternak dengan protein dan lemak sedikit?;hgh
4;G004;Apakah air telah dimurnikan dengan oksiigen?;ghg
5;G005;Perlakuan debit air konstan?;ggggffsddfgf
6;G006;Air disinari UV ?;t
7;G007;Derajat sinar UV 200-280 derjat celcius?;fghfgj
8;G008;Temperatur air 25-32 derajat celcius?;uh
9;G009;"PH air 6,5-8,5 ?";dggfg
10;G010;Oksigen Terlarut >5?;dfgh
11;G011;Kecerahan air 30-40?;gfhh
12;G012;"Nilai ukur ammonia (NH3) 0,002 ppm";fghdf
