id;info;
1;Sistem Ras Harus menyediakan listrik 26 jam untuk mensuplai daya penunjang budidaya;
2;Salah satu keberhasilan budidaya adalah menggunakan air dari sumber yang bagus.;
3;Pakan sistem RAS harus mempunyai kadar protein dan lemak yang sedikit agar lebih sehat ikan budidaya;
4;Air sangat baik bila dialiri oksigen;
5;Jika air menguap maka harus ditambah sesuai yang dikeluarkan;
6;"Agar mengurangi resiko gagal, air dapat disinari UV";
7;Jika kurang dari 200 atau 280 uv maka tidak maksimal hasil budidaya;
8;Temperatur sebaiknya diantara 25-32 derajat celcius.;
9;"Ukuran ideal PH air 6,5-8,5";
10;Oksigen terlarut terbaik diatas 5;
11;Kecerahan air ideal diantara 30-40;
12;"Ukuran nilai ammonia sebaiknya sebesar 0,002 ppm";
